Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
Study of the Performance of Highly Loaded Axial Bearings of Pumps in the Nuclear Industry Depending on Operating Conditions,Journal of Machinery Manufacture and Reliability,,,,10.1134/S1052618823070233,I. S. Splavskiy,2023,https://link.springer.com/article/10.1134/S1052618823070233,Article,"Abstract
The key characteristics of thrust and radial bearings used in NPP circulation pumps are presented and discussed. The operating conditions of the thrust and radial bearing of the main circulation pump are considered. The comparative characteristics of bearings depending on the operating conditions are given. Recommendations are given on the choice of thrust and radial bearings in nuclear industry pumps."
K-Hub: A Modular Ontology to&#xa0;Support Document Retrieval and&#xa0;Knowledge Extraction in&#xa0;Industry 5.0,The Semantic Web,,,,10.1007/978-3-031-33455-9_27,Anisa RulaGloria Re CalegariAntonia AzziniDavide BucciAlessio CareniniIlaria BaroniIrene Celino,2023,https://link.springer.com/chapter/10.1007/978-3-031-33455-9_27,Conference paper,"Digitalization is entering the industrial sector and different needs are emerging to support shop floor operators; in particular, they need to retrieve information to support their operations (e.g., during maintenance activities), from structured and unstructured sources, as well as from other people’s experience. Sharing knowledge and making it accessible to industrial workers is therefore a key challenge that Semantic Web technologies are able to address and solve. In this paper, we present a modular ontology that we engineered in order to support the collection, extraction and structuring of relevant information for industrial operators in a “knowledge hub” (K-Hub). In particular, our K-Hub ontology covers several aspects, from document annotation/retrieval to procedure support, from manufacturing domain concepts to company-specific information. We discuss its engineering process, extensibility and availability, as well as its current and future application scenarios to support industrial workers."
Green synthesis and optimization of bacterial cellulose production from food industry by-products by response surface methodolgy,Polymer Bulletin,,,,10.1007/s00289-024-05492-7,Ashutosh PandeyAnnika SinghMukesh Kr. Singh,2024,https://link.springer.com/article/10.1007/s00289-024-05492-7,Article,"The statistical optimization of process parameters using eco-friendly methods to utilize industrial waste for optimal bacterial cellulose (BC) production has yet to be explored. This study adopts a sustainable approach to optimize the biosynthesis of BC production parameters using response surface methodology. A Box-Behnken Experimental Design with three independent variables, such as incubation temperature, medium shaking frequency, and pH of the nitrogen source, was employed to prepare 17 samples of BC from traditional carbon sources (D-Glucose) and low-cost carbon sources such as molasses and beehive extract, which are byproducts of the food industry. The purity and presence of cellulose in the BC were characterized by chemical solubility tests and Fourier transform infrared spectroscopy analysis. The physical and crystalline morphology of the BC was characterized by scanning electron microscopy and X-ray diffractometry. The thermal stability and molar mass (m/z) of BC were analyzed using thermogravimetric analysis and MALDI-TOF mass spectrometry. The influence of process parameters on BC production yields was recorded as 6 g/L in glucose medium, 9.5 g/L in beehive extract medium, and 11.7 g/L in molasses medium under the optimized conditions of 29.08 °C incubation temperature, 126.98 rpm shaking frequency, and pH 5.68. The estimated total costs for BC production were $175/kg from the glucose-based medium, $85.08/kg from the molasses-based medium and $105.26/kg from the beehive extract-based medium. This study aimed to establish optimal conditions for producing comparatively cheap and cost-effective BC for biomedical applications.
Graphical Abstract"
Edtechs in the Context of the Industry in Digital Transformation: Main Research Directions,Industrial Engineering and Operations Management,,,,10.1007/978-3-031-47058-5_29,Jocasta Oliveira MacielLeozenir Mendes BetimJoseane Pontes,2023,https://link.springer.com/chapter/10.1007/978-3-031-47058-5_29,Conference paper,"Digital skills and capabilities are among the key requirements of the new digital age. However, to qualify professionals for the digital transformation of Industry 4.0 and 5.0 in the manufacturing sector, it is necessary to adopt new forms of teaching, explore technologies and promote lifelong learning. In this way, new business models must represent disruptive changes that satisfy the market’s search for qualified professionals. In this context, Edtechs as startup companies are innovating by transforming teaching through Industry 4.0 technologies, for example, bringing strategies to qualify people for digital transformation, whether by developing online teaching platforms or training people for Industry 4.0 and 5.0. Therefore, research is needed to understand how Edtechs are working on digital transformation and its impact on the future of education and workforce. Thus, the aim of this article is to review the main themes that guide research on Edtechs for digital transformation. For this purpose, a systematic literature review based on the PRISMA methodology, a bibliometric analysis using the VOSviewer software and a qualitative analysis of the portfolio themes using NVIVO 12 were carried out. As main results, 94 articles were found whose themes were highlighted: Learning, Digital, Technologies, Education and System. This shows that the focus of Edtechs is on education, digital learning, and training for new jobs through disruptive technologies."
2D Packing in&#xa0;Woodwork Industry,Hybrid Intelligent Systems,,,,10.1007/978-3-031-78922-9_15,Tiago B. RibeiroAna I. Pereira,2025,https://link.springer.com/chapter/10.1007/978-3-031-78922-9_15,Conference paper,"Adopting computational technologies can revolutionize traditional sectors through enhanced efficiency and sustainability. This study explores the use of 2D packaging algorithms in woodworking industries, which often leads to material waste, and reduces dependence on manual labor. Implementing these algorithms can optimize the use of materials, labor, and promote scalable production. This study evaluated the effectiveness of the 2D cutting algorithm in standard woodworking, highlighting its potential to reduce waste and its industrial impact, emphasizing the importance of merging technology with traditional industries and advocating a future that harmonizes economic development with sustainable resource use."
A Framework to Implement Viable Supply Chain Model: Application of Fuzzy DEMATEL Approach,Intelligent and Fuzzy Systems,,,,10.1007/978-3-031-67192-0_39,Youssef JouichaAnass CherrafiNadia HamaniSaid Elfezazi,2024,https://link.springer.com/chapter/10.1007/978-3-031-67192-0_39,Conference paper,"The COVID-19 outbreak has revealed the vulnerability of global supply chains, and contributed to the expansion of debate about digitalization and supply chain resilience. Viable Supply Chain extends resilience towards maintaining supply chain. To fulfil customer needs under long-term and global crises. The current studies have investigated the contribution of industry 5.0 technologies in enhancing supply chain resilience and sustainability. Although, there is a lack of published studies on the impacts of industry 5.0 technologies on supply chain viability. The viable supply chain models have been identified and studied via a comprehensive literature review. The Fuzzy Decision-Making Trial and Evaluation Laboratory (DEMATEL) approach is applied to analyze the interactions between Industry 5.0 technologies and Viable Supply Chain models. Next, a framework of Industry 5.0 technologies is proposed to establish and implement viable supply chain models. The findings can guide decisions makers to improve supply chain viability through adopting emerging technologies. Future research can investigate the challenges posed by Industry 5.0 to the proposed framework."
"Bacterial Nanocellulose Produced as a By-product of the Brewing Industry and Used as an Adsorbent for Synthetic Solutions of Co(II), Cu(II), Ni(II) AND Fe(III)",Journal of Polymers and the Environment,,,,10.1007/s10924-024-03389-0,Gabriela Martins de PaivaFernanda PalladinoEdson Romano NucciAlan Rodrigues Teixeira MachadoCarlos Augusto RosaIgor José Boggione Santos,2024,https://link.springer.com/article/10.1007/s10924-024-03389-0,Article,"An economically and environmentally viable alternative for treating waste from iron ore production in Brazil is the use of bacterial nanocellulose (BNC) as an adsorbent for the metals present in the waste composition, due to its biocompatibility and biodegradability properties. However, to reduce production costs, it is necessary to study alternative substrates, such as waste from the brewing industry, which are nutritionally rich and, therefore, excellent candidates for substrate for bacteria that produce bacterial nanocellulose. Therefore, the present work aims to statically produce BNC using waste from the brewing industry and use BNC as an adsorbent for treating waste from the mining industry. It was possible to obtain approximately 1532 mg of bacterial nanocellulose through the batch system using the hydrolyzate of residual brewing yeast at pH 7 and 5 days of incubation. When used as an adsorbent, the material obtained a maximum adsorption capacity for the metals Co (II), Ni (II), Cu (II) and Fe (III) of, respectively, 0.0739, 0.2504, 0.3945 and 0.02841 mg·g−1. For the same metals, the removal rate of the synthetic solutions studied was, respectively, 62.56, 39.13, 61.64 and 24.42%. For the analysis of isotherms, the Freundlich model proved to be the most effective for describing the system. Regarding the adsorption kinetics, it was more effective in the Elovich model. This data shows that nanocellulose produced by bacteria and using agro-industrial subproducts becomes a good alternative for remediation processes in a sustainable way."
Characterization of Dairy Industry Secondary Material-Based Edible Films: Effect of Incorporated Lactic Acid Bacteria,Food and Bioprocess Technology,,,,10.1007/s11947-025-03764-2,Agne VasiliauskaiteElvidas AleksandrovasJoana T. MartinsJorge M. VieiraAntonio A. VicenteVitalijs RadenkovsIda RudMindaugas MalakauskasLoreta Serniene,2025,https://link.springer.com/article/10.1007/s11947-025-03764-2,Article,"Edible films are a promising method for delivering probiotics in food. The survival of Lacticaseibacillus paracasei A11 and Lactobacillus helveticus MI-LH13 (7 log CFU/g), which were cultivated in liquid whey permeate (LWP), in films made from liquid acid whey protein concentrate (M) or liquid acid whey permeate (Z), was evaluated over 21 days at 25 °C and 4 °C. Film drying and matrix type had varying effects on strain survival. In the Z film, L. helveticus did not survive drying, but L. paracasei did. Both strains increased in the M film during drying. During storage, survival was low at 25 °C, but at 4 °C, strains survived better, especially in the M film (4.76–6.12 log CFU/g). The plain Z film was 28% more moist, 54% thinner, 70% more stretchable, 43% less opaque, 10% whiter, 47% redder, 43% bluer, and 64% less viscous compared to the plain M film. Incorporating both strains into M films (M + L. p, M + L. h) increased lightness, stretchability, and tensile strength while reducing viscosity and opacity (p < 0.05). The inclusion of the L. helveticus strain in M films reduced their thickness, whereas the presence of L. paracasei in the Z film enhanced solubility. Both films supported strain survival without negatively affecting the films’ rheological, optical, physicomechanical, and morphological properties, demonstrating the potential of LAB-incorporated edible films for probiotics delivery, shedding light on their adaptations and interactions within the film matrix. Furthermore, the impact of drying and storage conditions on LAB survival provides valuable insights for optimizing the formulation and application of these films in the food industry."
"Industry co-agglomeration, executive mobility and compensation",Review of Quantitative Finance and Accounting,,,,10.1007/s11156-023-01163-2,Markus BromanDebarshi K. NandyYisong S. Tian,2023,https://link.springer.com/article/10.1007/s11156-023-01163-2,Article,"We find evidence of geographic segmentation in the market for top executives and identify industry co-agglomeration as the primary driver. When top executives move from one firm to another, nearly 40% of the moves are between local firms, which is more than five times greater than predicted by available employment opportunities. Furthermore, these local moves are dominated by moves among firms in co-agglomerated industries. While the strong local move bias is also accompanied by local co-movement in the compensation of top executives, the co-movement is driven by local peers in co-agglomerated industries only but not by other local peers."
Development of Phytocosmetic Photoprotective Nanoemulsion Containing Winery Industry Waste,Revista Brasileira de Farmacognosia,,,,10.1007/s43450-025-00704-1,Carina Sant’Anna MorgadoNaomi Kato SimasAnne Caroline C. GomesDandara Alves LuzRicardo Machado KusterMariana Sato de S. B. MonteiroEduardo Ricci-Júnior,2025,https://link.springer.com/article/10.1007/s43450-025-00704-1,Article,"There is a growing trend toward transforming industrial waste into sustainable, value-added products for health and wellness, such as cosmetics that promote the responsible reuse of industrial by-products. This study aimed to develop a photoprotective phytocosmetic nanoformulation using extracts obtained from red and white wine lees. Phytochemical analysis identified several flavonoids, including quercetin, in the extracts. The nanoemulsions formulated with red and white wine lees extracts exhibited nanometric droplet sizes of 242.9 ± 0.71 nm and 225.5 ± 0.14 nm, respectively. Transmission electron microscopy analysis confirmed the spherical morphology of the droplets in both nanoformulations. The in vitro sun protection factor value of the blank nanoemulsion was 19.14 ± 0.5, while the nanoemulsions containing red and white wine lees extracts showed sun protection factor values of 24.33 ± 0.6 and 24.45 ± 0.6, respectively, indicating a synergistic effect of the extracts on the sun protection factor efficacy of the chemical filters. The UVA/UVB ratio of the blank nanoformulation was 0.512 ± 0.5, but the nanoemulsions containing natural actives from red and white wine extracts increased the UVA/UVB ratio to 0.623 ± 0.6 and 0.601 ± 0.5, respectively, demonstrating good UVA protection. In addition, the formulations exhibited skin-compatible pH values (ranging from 4.5 to 5.2), effective occlusive properties that help prevent transepidermal water loss, and excellent spreadability, facilitating uniform application across the skin. Cytotoxicity assays using 3T3 fibroblast cell lines indicated no significant toxicity at the tested concentrations. The improved sun protection factor and UVA protection in the wine lees-based formulations may be attributed to the presence of UV-absorbing phytochemicals, while the antioxidant activity of phenolic compounds may provide additional protection against UV-induced oxidative stress. This approach aligns with ongoing research efforts aimed at environmental sustainability by transforming industrial waste into valuable resources, thereby enabling the development of innovative and eco-conscious cosmetic formulations.
Graphical abstract"
Comparative Analysis of Hybrid MCDM Methods for Supplier Evaluation: SWARA/AHP-Based MOORA and WASPAS Approach in the Turbocharger Industry,Operations Research Forum,,,,10.1007/s43069-025-00581-3,Atakan ErarslanMehmet Erol KaraEzgi Aktar Demirtas,2025,https://link.springer.com/article/10.1007/s43069-025-00581-3,Article,"Turbocharger technology, a crucial component in vehicle engines, is utilized to optimize various critical factors such as performance, fuel efficiency, quality, cost, and environmental considerations. This article aims to compare the results of using hybrid multi-criteria decision-making (MCDM) methods in the supplier evaluation process of a company operating in the Netherlands that manufactures and distributes turbochargers and engines. During the weighting phase of the supplier selection (SS) criteria, established through a literature review and group decision-making with the purchasing department, analytic hierarchy process (AHP) and stepwise weight assessment ratio analysis (SWARA) are applied. In the phase of evaluation, multi-objective optimization by ratio analysis (MOORA) and weighted aggregated sum product assessment (WASPAS) methods are employed. The suppliers are evaluated and ranked using four different forms of MOORA and two different forms of WASPAS. Additionally, the suppliers’ rankings based on the hybrid methods are converted into overall performance scores using the Borda count and Copeland methods, and the suppliers are evaluated through sensitivity analyses across eight different scenarios. The implementation steps of these methods are presented algorithmically. This comparative case study is the first to analyze the supplier evaluation process using several forms of hybrid MOORA and WASPAS. The advantages and disadvantages of the hybrid methods used in the study are thoroughly examined. In this respect, the study can serve as a decision support mechanism for the company and other firms operating in similar industries to enhance the efficiency of their procurement processes."
A sustainability-oriented supply chain supplier selection framework using resilience and HSE performance metrics in the automotive industry,Scientific Reports,,,,10.1038/s41598-025-30055-9,Saeid MaddahAmin PadashMostafa Hajiaghaei-KeshteliGholam Reza Nabi BidhendiAta Allah TaleizadehFaezeh Borhani,2025,https://link.springer.com/article/10.1038/s41598-025-30055-9,Article,"Occupational Safety and Health (OSH) represents a core element of the social dimension of sustainability, working in tandem with environmental performance to support sustainable development. Resilience Engineering complements this perspective by focusing on organisational adaptability and the ability to maintain safety in dynamic, uncertain environments. The objective of this study is to develop an integrated framework for sustainable supplier selection that incorporates both resilience and Health, Safety, and Environment (HSE) performance as strategic evaluation criteria. This approach aims to guide organisations in aligning procurement practices with broader sustainability and safety goals. To construct and validate the proposed framework, expert input was gathered and synthesised using the Delphi method, ensuring consensus on critical evaluation factors. The Content Validity Ratio (CVR) was applied to assess the clarity and relevance of the selected criteria. For prioritisation, the Best-Worst Method (BWM) was used to determine the weight of each criterion. The multi-attributive Border Approximation Area Comparison (MABAC) method was then employed to rank supplier performance across the established criteria. The resulting framework consists of seven main categories and 26 sub-criteria, representing a holistic view of supplier sustainability, resilience, and HSE performance. The model was applied to assess four suppliers, demonstrating its effectiveness in identifying variances in safety practices, adaptability, and environmental responsibility. It provided clear, actionable insights into the comparative strengths and weaknesses of each supplier. The integrated framework offers a practical and strategic tool for enhancing supplier selection decisions. By embedding resilience and HSE into evaluation processes, organizations can support long-term goals related to safety, adaptability, and sustainability. This structured approach facilitates the development of robust and adaptive supply chains, reinforcing the alignment between operational practices and sustainable development principles."
A Novel Method for Judicious Utilization of <i>Saraca asoca</i> (Roxb.) W.J.de Wilde in Herbal Drug Industry,"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",,,,10.1007/s40011-025-01690-z,Sulaiman CheruthazhakkatMufeeda Palamadathil KozhicheriAnandan Erayur ManaIndira Balachandran,2025,https://link.springer.com/article/10.1007/s40011-025-01690-z,Article,"Saraca asoca commonly known as Asoka is an important medicinal plant used in various traditional systems of medicines like Ayurveda and has been threatened due to over-exploitation. Sustainable and judicious utilization of available materials is one of the important alternative strategies to solve the scarcity of medicinal plants. In this study, comparative phytochemical and pharmacological evaluation of bark and secondary branches of Asoka has been done to explore the possibility of using secondary branches of S. asoca instead of its bark. Comparative phytochemical and pharmacological evaluation was carried out in bark and secondary branches of S. asoca. Phytochemical comparison was done using different chromatographic and spectroscopic techniques such as HPTLC, HPLC, LC/MS–MS, etc. Toxicity and estrogenic activity were compared for both bark and secondary branches in animal models. Phytochemical studies showed that chemical constituents of bark of S. asoca are unique in nature; however, some of these are also found in branches with less abundance. Major class of compounds such as phenolics, flavonoids and catechins are less in concentration in secondary branches. Chromatographic profiling using HPTLC showed matching bands/peaks with comparatively less area percentages in branches. LC/MS-based metabolite profiling showed presence of active catechins and flavonoids in both bark and branches. Acute and repeated toxicity studies confirmed that there are no toxic effects for both bark and secondary branches. Estrogenic activity conducted in ovariectomized rats showed that both bark and secondary branches of S. asoca possess significant estrogenic activity. The study revealed that secondary branches of Asoka possess significant estrogenic activity without any toxic effects. The results suggest judicious utilization of S. asoca in herbal industry that may help to address the scarcity of this important drug."
Impacts on Employee Well-Being in the Finance Industry Post-pandemic,Sustainable Innovation for Engineering Management (SIEM),,,,10.1007/978-3-031-89889-1_16,Winson LawJeffrey S. S. Cheah,2025,https://link.springer.com/chapter/10.1007/978-3-031-89889-1_16,Conference paper,"The COVID-19 pandemic has had a profound effect on organizations and their employees, highlighting the need to investigate the factors that contribute to employee well-being in the finance industry. This study investigates the impact of hybrid working arrangements, organizational position, work stress, and workloads on employee well-being in the post-pandemic era. The findings reveal that hybrid working conditions and an employee's role within the organization significantly affect their well-being, while stress and workload do not have a statistically significant impact. These findings provide organizations with important information for developing strategies and initiatives to enhance employee well-being and create a more supportive and healthy workplace in the finance industry."
Society 5.0 A Vision for a Privacy and AI-Infused Human-Centric Society Driving a New Era of Innovation and Value Creation,Proceedings of Eighth International Congress on Information and Communication Technology,,,,10.1007/978-981-99-3243-6_19,Elizabeth KoumpanAnna W. Topol,2023,https://link.springer.com/chapter/10.1007/978-981-99-3243-6_19,Conference paper,"In 2016, government of Japan defined Society 5.0 as a human-centered society (What is Society 5.0—Government of Japan: https://www8.cao.go.jp/cstp/english/society5_0/index.htmlCebit. Society 5.0: Japan’s digitization. http://www.cebit.de/en/news-trends/news/society-5-0-japans-digitization-779 [1]) in which the need to address social problems and economic advancement is balanced. Based on innovation and a highly integrated physical and cyberspace, this optimized organizational structure enables the creation and delivery of new services and products for those who need them when they need them, providing unique value, breaking the sense of stagnation, and enhancing society as a whole. We already see the emergence of connected industries collaborating innovatively to deliver new services. Advances in edge technology, blockchain, and 5G provide means for more connected ecosystems. In the future, they will further focus on value creation for society, sharing the data, and utilizing AI, while keeping data protected and secure. This paper studies some of the challenges which need to be addressed to realize the Society 5.0 vision."
The Transformation of Maintenance with the Arise of Industry 4.0,Innovations in Mechatronics Engineering III,,,,10.1007/978-3-031-61575-7_17,João AlvesTeresa MorgadoHelena NavasSuzana LampreiaAntónio AbreuAna Dias,2024,https://link.springer.com/chapter/10.1007/978-3-031-61575-7_17,Conference paper,"The world is rapidly evolving with the rise of digital transformation, which has started the fourth industrial revolution, also known as Industry 4.0. This new revolution combined the innovation of several technologies, such as the Internet of Things, Big Data, AI-driven technologies, cyber-physical systems, and additive manufacturing, to reduce costs, improve productivity and efficiency, and reduce human error. However, this new concept changed the paradigm of maintenance itself, which embraced it, leading to the appearance of Maintenance 4.0. The foundation of this maintenance approach is Predictive Maintenance and, as a resource, the leading technology from Industry 4.0. This paper aims to clarify the concept of Maintenance 4.0 and present study cases about its application and the leading technologies attached to it. In conclusion, these new technologies promise transparency in maintenance routines. These techniques are still very recent, with a significant volume of initial capital and the need for highly educated employers, such as Data Scientists, which is still a distant reality from most companies/industries. Another essential factor to pay attention to is related to the progress of these technologies, which are still in their early development, and their practical application still needs to be improved. Moreover, human capital resources can represent a brake on progress since many workers would be inflexible with the changes in new technology and tools."
Olive industry liquid waste from trash to metal adsorbent for wastewater purification,BMC Chemistry,,,,10.1186/s13065-023-01104-z,Isra IshraydehOthman HamedAbdalhadi DeghlesShehdeh JodehKhalil AzzaouiAbdelfattah HasanMohyeddin AssaliAtaa JaseerWaseem MansourGül Gülenay HacıosmanoğluZehra Semra CanManuel Algarra,2024,https://link.springer.com/article/10.1186/s13065-023-01104-z,Article,"The development of biobased polymeric materials for wastewater purification has become a demand due to the growing need for water free of hazardous metal ions for safe purposes. The organic components of the OLLW including carbohydrates, phenolics, aromatic acids and others are cost-effective and sustainable choices for this application. This work focuses on a method for turning the organic components of liquid waste from the olive industry (OILW) into a foam-based value-added polymer that has several metal ion binding sites. The process of making the target polymers involved reacting the components of the OILW with hexamethylene diisocyante and 1,4-phnyelene diisocynate to create the polymeric materials LHMIDIC and LPDIC that are in foam forms with urethane linkages, respectively. The adsorption competence of the polymeric foams toward Pb(II) was evaluated as a function of various parameters including adsorbent dose, pH, temperature, initial ion concentration and time. The optimum parameters values that led to a quantitative removal of Pb(II) were identified. The obtained thermodynamic parameters showed that the adsorption by the two foams was spontaneous at room temperature. The isothermal and kinetic values showed that the adsorption by synthesized foams follows a second order kinetic and obeys the Langmuir isothermal model. The foams showed a high tendency for removing multi metal ions present in a real sample of wastewater. The original nature of the starting material used in making the foam, cost and the obtained results showed the potential of using the foam in a large-scale plants of wastewater purification.
Graphical Abstract"
Enhancing Sustainability in Manufacturing Processes: A Comprehensive Study on Sustainability Index and Assessment Methods in a Malaysia Electronic Industry,Proceedings of the 7th Asia Pacific Conference on Manufacturing Systems and 6th International Manufacturing Engineering Conference - Volume 2,,,,10.1007/978-981-96-5690-5_2,Khairil Izhan AnuarAmiril Sahab Abdul Sani,2025,https://link.springer.com/chapter/10.1007/978-981-96-5690-5_2,Conference paper,"This paper addresses the challenges in balancing environmental, economic, and societal concerns in Malaysia’s electronic industry by proposing an integrated sustainability assessment method. The method combines quantitative and qualitative indicators, weighted for relevance to the industry, to create a unitless sustainability index. Using real data from Malaysian electronic manufacturing companies, the index highlights strengths and weaknesses in sustainability performance across environmental, economic, and societal dimensions. The findings reveal opportunities for improvement, such as reducing emissions, mitigating wastewater pollution, and enhancing working conditions, providing actionable insights for decision-makers to drive sustainable practices."
Addressing trade-offs in co-designing principles for ethical AI: perspectives from an industry-academia collaboration,AI and Ethics,,,,10.1007/s43681-024-00477-8,Amelia KatiraiYusuke Nagato,2024,https://link.springer.com/article/10.1007/s43681-024-00477-8,Article,"The development and deployment of artificial intelligence (AI) has rapidly outpaced regulation. As a result, many organizations opt to develop their own principles for the ethical development of AI, though little research has examined the processes through which they are developed. Prior research indicates that these processes involve perceived trade-offs between competing considerations, and primarily between ethical concerns and organizational benefits or technological development. In this paper, we report on a novel, collaborative initiative in Japan between researchers in the humanities and social sciences, and industry actors to co-design organizational AI ethics principles. We analyzed the minutes from 20 meetings from the formative phase of the development of these principles using an inductive process drawing on thematic analysis, to identify the issues of importance to participants. Through this, we identified four core trade-offs faced by participants. We find that, contrary to prior literature, participants were not just concerned with trade-offs between ethical concerns and organizational benefits or technological development, but also between competing, ethically-oriented considerations. We use the results of this study to highlight a need for further research to understand the longer-term impact on organizations and on society of organization-led approaches to AI ethics."
Insights from circular supply chain implementation prospects employing industry 4.0 technologies: a study based on applied methodologies of SLR and content analysis,Operations Management Research,,,,10.1007/s12063-024-00493-1,Rita NagwalKumar RohitRavindra Pathak,2024,https://link.springer.com/article/10.1007/s12063-024-00493-1,Article,"This research emphasized on the applicability of Industry 4.0 technologies in the domain of supply chain network exploring the relevance to circular economy. A study was conducted to portray integrated impact of two different domains: circular supply chain (CSC) and Industry 4.0 (I4.0) underlining their effects on the circular economy. The outline of this research is to determine the linkage between CSC and I4.0 to address the barriers to CSC implementation in small medium enterprises (SMEs). This research specifically focused to explore synergies, conflicts, or dependencies between CSC principles and the implementation of I4.0 technologies within SMEs citing the impact on circular economy (CE). To extract vital and conclusive insights from this research, a systematic literature review (SLR) was conducted followed by incorporating content analysis. A systematic procedure was adopted focused on identification of anticipated keywords/and themes having relevance to CSC linking with I4.0 applicability inferring to their core concepts and their overall impact on the circular economy. The  existence   of  specific  keywords,   topics,  or  key concepts in  a  given  set  of  qualitative  data  (i.e. text) having linkage with the integrated impact of CSC and I4.0 was explored employing this systematic procedure based on PACEF framework. This procedure to validate this research encompasses six different steps – research convention (defining the study's parameters), search (identifying search terms and database types), evaluation (consistent standards for the inclusion and rejection of literature as well as for evaluating the quality), amalgam (extrapolating and classifying data), scanning (describing outcome before coming to a decision), and finally reporting the results (describing the process used and releasing the outcome to the communal), entire procedure being abbreviated as CSEASR. This research yielded significant inferences on the combined effects of CSC and I4.0 on the circular economy that will aid eradicate barriers to CSC deployment with the usage of I4.0 technologies for SMEs."
Characterization of salt-tolerant diazotrophs with plant growth-promoting potential isolated from soda industry-affected technosoils,Plant and Soil,,,,10.1007/s11104-024-06612-y,Sweta Binod KumarAgnieszka KalwasińskaJoanna ŚwiątczakMaria Swiontek BrzezinskaJacek Kęsy,2024,https://link.springer.com/article/10.1007/s11104-024-06612-y,Article,"Background
Soils developed due to anthropogenic activities are known as technosoils. Microorganisms retrieved from such habitats are naturally adapted to extreme environments. Strains displaying plant growth-promoting abilities can play a vital role in improving degraded soil performance. The utilization of diazotrophs as natural nitrogen sources is particularly important as it reduces the reliance on synthetic nitrogen fertilizers.
Method
To investigate this further, bacteria were isolated from the rhizosphere of wheat (Triticum aestivum L.), Salicornia europaea (L.), aster (Tripolium pannonicum subsp. tripolium (L.) Greuter), and maize (Zea mays L.) cultivated in the technosoils of Inowrocław, central Poland, influenced by the soda lime repository. A total of eleven bacteria were selected based on the presence of the nifH gene. The isolates were also tested for other growth-promoting traits, as well as biocontrol properties and antibiotic sensitivity. Finally, a germination test was performed on wheat seeds grown under nitrogen (N absence) and salt stress (150 mM NaCl) conditions.
Results
Isolates Azo12 and W4ii, identified as Agrobacterium sp. and Azotobacter chroococcum, respectively, significantly promoted the growth of seedling roots and leaves under salt stress compared to seedlings without bacteria (P < 0.001). Agrobacterium sp. (Azo12), Sphingobium fuliginis (Azo7), and Variovorax paradoxus (Azo11) significantly increased seedling growth under nitrogen stress compared to control seedlings (P < 0.05).
Conclusion
Studies revealed that technosoils developed by the soda industry are an unexplored source of various salt-tolerant nitrogen-fixing bacteria with significant potential to be further explored for producing biostimulants for sustainable agriculture."
Vision Paper for Sharing Economy and Digital Platforms Toward Society 5.0,Human Centred Intelligent Systems,,,,10.1007/978-981-19-3455-1_19,Yoshimasa MasudaYoshimitsu UmahashiTomohisa HashimotoShigemichi WatanabeRashimi JainAlfred ZimmermannRainer SchmidtOsamu Nakamura,2022,https://link.springer.com/chapter/10.1007/978-981-19-3455-1_19,Conference paper,"Enterprises and societies currently face crucial challenges, while Society 5.0 can contribute to a supersmart society, especially for manufacturing and healthcare, and Industry 4.0 becomes important in the global manufacturing industry. Smart energy digital platforms are architected to manage energy supply efficiently. Furthermore, the above digital platforms are expected to collect various kinds of data and analyze Big Data for the trends in the sharing economy in ecosystems. The adaptive integrated digital architecture framework (AIDAF) for Design Thinking Approach with Risk Management is expected to make an alignment with digital IT strategy. In this paper, we propose that various energy management systems and related digital platforms are designed and implemented in an alignment to digital IT strategy for sharing economy toward Society 5.0, with the AIDAF framework for Design Thinking Approach with Risk Management. The vision of AIDAF applications to enable sharing economy and digital platforms is explained and extended in the context of Society 5.0. In addition, challenges and future activities for this area are discussed that cover the directions of smart energy for Society 5.0."
Process Digital Twin in Naval Manufacturing 5.0: A Case Study,"Proceedings of the IV Iberoamerican Congress of Naval Engineering and 27th Pan-American Congress of Naval Engineering, Maritime Transportation and Port Engineering (COPINAVAL)",,,,10.1007/978-3-031-49799-5_76,Adolfo Lamas RodríguezBelén Sañudo CostoyaElena Denisa VladAdrián Cora SierraLorenzo Ortiz Aneiros,2024,https://link.springer.com/chapter/10.1007/978-3-031-49799-5_76,Conference paper,"This article proposes a framework for the development of process digital twins (DTs) based on the definition of three levels of digital maturity in naval industry. The case study is a real pilot cell developed at the Innovation and Robotics Center of NAVANTIA—Ferrol shipyard, which includes technologies such as robotics, automated welding, computer vision, visual inspection, and autonomous vehicles for the manufacturing of minor pre-assembly components. At level 1, or connected digital twin, a simulation model is integrated with its physical counterpart to calculate process times using an IoT architecture instead of estimated ratios from the PLM. At level 2, or smart digital twin, artificial intelligent techniques are employed to optimize a cost function related to operation times, material sequencing, or the use of Zero-Defect Strategies. At level 3, or autonomous digital twin, a bidirectional real-time connection is established with the cell. The aim is acting on the activation or deactivation of material input optimization according to the presence of bottlenecks, visual inspection, or optimization of welding parameters."
