Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
Digital operations research models for intelligent machines (industry 4.0) and man-machine (industry 5.0) systems,Annals of Operations Research,,,,10.1007/s10479-024-06366-x,Madjid TavanaTobias SchoenherrYang ChengAjay KumarEric W. T. Ngai,2024,https://link.springer.com/article/10.1007/s10479-024-06366-x,Article,"Digital technologies have the potential to enhance organizational production and operations management strategies. With the help of technologies, operations and end-to-end value chain processes can be optimized in real-time, synthesizing customer experience with operational fulfillment through automation, advanced analytics, artificial intelligence (AI), blockchain technology, and augmented reality, among other technologies. The demand for these technologies, particularly within the realm of advanced demand planning and supply chain optimization, has emerged significantly over the last several years, creating opportunities to enhance optimization and improve real-time network efficiency in supply chain networks, enabled by insights through advanced analytics. Whereas the processes of Industry 4.0 are primarily driven by digitalization, the next wave of operations research must address how to take these advanced capabilities inherent to Industry 4.0, extend them from optimized digital automation, and combine them with human-centered touchpoints. This paradigm shift or transformation has been called the fifth Industrial Revolution or Industry 5.0 (Grybauskas & Cárdenas-Rubio, 2024). The main focus of this technological evolution is on forming a smarter society, consisting of a system of interconnected smart industries resident on a high level of human–computer interaction to make informed and efficient decisions in human-centric digital manufacturing (Shankar & Gupta, 2024). While the digital technologies used in the Industry 5.0 era may be the same as in Industry 4.0, Industry 5.0 enhances these technologies for the digital manufacturing process by integrating human critical thinking and creative abilities."
Industry 5.0 in aircraft production and MRO: challenges and opportunities,CEAS Aeronautical Journal,,,,10.1007/s13272-025-00832-3,Keno MoenckJulian KochJan-Erik RathLukas BüschJohann GiereckerFalko KählerFlorian KalscheuerChristian MasuhrJohann KippingPhilipp PrünteDaniel SchoepflinHenrik EschenLukas Antonio WulffRebecca RodeckGerko WendeMartin GomseThorsten Schüppstuhl,2025,https://link.springer.com/article/10.1007/s13272-025-00832-3,Article,"Globally interconnecting machines, processes, and resources driven by exploring and advancing new technologies defined Industry 4.0 (I4.0), resulting in, e.g., Cyber-Physical Production Systems (CPPS). The aircraft industry particularly struggled with transforming production and Maintenance, Repair, and Overhaul (MRO) processes, replacing humans with machines and automating as well as digitalizing significant parts of their value- and non-value-adding activities. However, in the face of current social and environmental challenges, future industries will need to shift from purely technology-driven to value-driven, working sustainably with resources, including human capital. Together, these approaches constitute the idea of Industry 5.0 (I5.0). On the one hand, the aviation industry faces the challenge that even I4.0 concepts and technologies are not yet fully exploited or implemented. On the other hand, due to the specific characteristics of aircraft production and MRO as well as the environmental impact of the product, a tremendous potential arises regarding placing human well-being back into the center of adding value and decreasing environmental footprint while building an industry that is resilient and fortified against disruptions of this era. In line with the I5.0 terminology, in this work, we outline the challenges and opportunities of integrating I5.0 principles into the aircraft production and MRO industries, focusing specifically on the scope of selected use cases."
The rise of human-centric manufacturing in the industry 5.0 era,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-16192-5,Lesia Yanytska,2025,https://link.springer.com/article/10.1007/s00170-025-16192-5,Article,"Industry 5.0 represents a paradigm shift from automation-dominated production models toward a human-centric approach that emphasizes collaboration, resilience, and sustainability. Unlike Industry 4.0, which prioritized efficiency through digital transformation, Industry 5.0 seeks to augment human intelligence and well-being by integrating emerging technologies with cognitive and ergonomic design principles. This transformation responds to global challenges such as workforce shortages, pandemic-induced disruptions, and the urgency of climate action. This study adopts a qualitative methodology, combining a systematic literature review of 25 peer-reviewed sources with an embedded case study of a global manufacturing facility. Data were collected from open-access scientific databases and verified industry reports. The study focuses on identifying technological enablers and organizational strategies that exemplify Industry 5.0 principles in practice. A thematic analysis approach was applied to extract dominant patterns related to human–machine interaction and innovation outcomes. Key findings demonstrate that AI-powered MES dashboards, human digital twins with cognitive data streams, immersive XR training platforms, and collaborative robotics shape adaptive manufacturing ecosystems. These systems enable real-time anomaly detection, operator-specific decision support, and neuroergonomic scheduling. At the case site, this led to a 22% reduction in downtime, a 14% improvement in scheduling accuracy, and a doubling of employee-driven innovations. The application of neuroergonomic design, Kaizen-based improvement, and predictive AI systems enhanced engagement, productivity, and adaptability. The study confirms that Industry 5.0 provides a viable framework for building inclusive and sustainable manufacturing environments. These insights offer both a theoretical foundation for human-centric production and a strategic roadmap for industries aiming to operationalize Industry 5.0 principles at scale."
Improving safety in human–robot collaboration towards sustainable production in Industry 5.0,Journal of Intelligent Manufacturing,,,,10.1007/s10845-025-02676-4,Justyna Patalas-MaliszewskaHanna ŁosykAdam Dudek,2025,https://link.springer.com/article/10.1007/s10845-025-02676-4,Article,"The widespread implementation of Human–Robot Collaborations (HRC) in industry is becoming an obvious step in the era of Industry 4.0 or even 5.0 and the requirements of sustainable production (SP) due to the increase in productivity and quality while reducing production costs. However, due to limited studies on the establishment of collision thresholds in HRC, in-depth research is needed to determine possible disruptions for safety in HRC. So, firstly, in order to identify current issues and critical challenges in the field of HRC safety, an analysis of the literature was carried out using the Systematic Literature Review (SLR) & Mapping in Literature Reviews (MLR) methodology based on the Preferred Reporting Items for Systematic reviews and Meta-Analyses guidelines (PRISMA). A total of 4,107 research articles were identified in Science Direct—Elsevier, Web of Science and Springer, that focussed on safety in HRC in SP. In this study, 103 items were then analysed and 53 in the second stage. The key research contributions are developed as the principles for enhancing safety in HRC in industry: (1) improving HRC workspace safety, (2) building mechanisms for monitoring HRC workspaces and (3) managing ethical issues. In line with these trends, secondly, experimental studies were provided. Next, empirical research was conducted to establish the parameters for ensuring the safety of the monitoring system for work in HRC. Therefore, analysis of the video recordings on the efficiency of detecting collision in HRC, when using the Region-Based Convolutional Neural Network (YOLOv8 Tiny), within the vision system were researched. The experimental studies indicate the necessary actions within a monitoring system in HRC in order to ensure workplace safety in the HRC environment. Finally, the research results suggest future research directions as (1) proactive HRC with attention to collaborative robots and (2) integration with the approach, to ensure safety in HRC into SP strategy in industry. This study provides new insights into HRC and gives an outlook for development of safety issues in HRC in industry.
Graphical abstract"
Embedding Models for Multivariate Time Series Anomaly Detection in Industry 5.0,Data Science and Engineering,,,,10.1007/s41019-025-00295-w,Lorenzo ColombiMichela VespaNicolas BellettiMatteo BrinaSimon DahdalFilippo TabanelliFrancesco RescaElena BellodiMauro TortonesiCesare StefanelliMassimiliano Vignoli,2025,https://link.springer.com/article/10.1007/s41019-025-00295-w,Article,"Industrial processes often involve the generation—and the analysis—of multivariate time series data, which poses several challenges from the anomaly detection perspective. In addition to the need to detect previously unseen anomalies, the high dimensionality of industrial datasets introduces the complexity of simultaneously analyzing multiple features and their interactions. Finally, industrial datasets are typically highly imbalanced, with minimal information on anomalous processes. To address these issues, we propose a novel anomaly detection framework that introduces two embedding models, based on Time2Vec and Discrete Wavelet Transforms, leveraging their capabilities to represent multivariate time series as vectors while capturing and preserving temporal dependencies and combining them with several classifiers to enhance the overall performance of anomaly detection. We tested our solution using a publicly available benchmark dataset and a real industrial use case, particularly data collected from a Bonfiglioli gear manufacturing plant. The results demonstrate that, unlike traditional reconstruction-based autoencoders, which often struggle with sporadic noise, our embedding-based solutions maintain high performance across various noise conditions."
From Industry 4.0 to Industry 5.0: Problems and Opportunities for the Metal Industry Development in Russia,Steel in Translation,,,,10.3103/S0967091224700438,O. A. RomanovaD. V. Sirotin,2024,https://link.springer.com/article/10.3103/S0967091224700438,Article,"Abstract
Transferring the Russian economy to a new technological basis that meets the basic principles and criteria not only of Industry 4.0, but also the conceptual foundations of the emerging Industry 5.0 is the only way to achieve technological sovereignty. It is natural for metallurgy to follow this development option. The development trends of domestic metallurgy in this direction are studied, the increasing importance of environmental and social responsibility of metallurgical companies is established, and technological and organizational guidelines for their further development are determined. Positive changes in the development of metallurgy related to the implementation of ESG parameters that meet the principles of the Industry 5.0 concept, as well as the achievement of its sustainability, are substantiated."
When Industry 5.0 Meets the Circular Economy: A Systematic Literature Review,Circular Economy and Sustainability,,,,10.1007/s43615-025-00570-y,Abderahman RejebKarim RejebJohn G. KeoghEdit Süle,2025,https://link.springer.com/article/10.1007/s43615-025-00570-y,Article,"This paper examines the convergence of Industry 5.0 and the circular economy, emphasizing the role of emerging technologies in promoting sustainability via human-centric approaches. In contrast to Industry 4.0, which prioritizes automation and digitalization, Industry 5.0 stresses the synergistic integration of technology, environmental sustainability, and human collaboration to enhance resource efficiency and minimize waste. Using co-word analysis and BERTopic modeling on 283 journal articles extracted from the Scopus database, this research identifies key trends and themes linking Industry 5.0 and the circular economy. The study findings demonstrate the use of automation, machine learning, and 3D printing in sustainable manufacturing, which aligns with circular economy principles by optimizing resource efficiency and reducing waste. The topic modeling analysis further demonstrates the role of blockchain, cybersecurity, and human-centric AI in enabling closed-loop systems while assuring transparency and accountability in circular production models. The collaboration between humans and machines emerges as a crucial topic highlighting the need for adaptive manufacturing systems to balance productivity and environmental responsibility. The findings indicate that Industry 5.0 increasingly aligns with circular economy goals, paving the way to more sustainable, resilient, and human-centric industrial processes. This study offers valuable insights for academics and practitioners, indicating that the confluence of technology, sustainability, and human involvement will propel the future of industrial innovation."
Emerging Challenges in the Sustainable Manufacturing System: From Industry 4.0 to Industry 5.0,Journal of The Institution of Engineers (India): Series C,,,,10.1007/s40032-024-01046-y,Firdoos Afzal BhatSaad Parvez,2024,https://link.springer.com/article/10.1007/s40032-024-01046-y,Article,"Technology development remains inevitable, and we have been witnessing transitions from the traditional manufacturing processes to new manufacturing processes through various phases of Industrialization that are driven by advancements/innovations at that point of time. First three phases of the industrial revolution (driven by mechanization, electrification, and automation) have switched from an agrarian to a manufacturing-based economy and raised the levels of skills, knowledge, attitudes, and lifestyle of humans. Firms that timely responded to these phases of transformations saw a significant rise in output, edge over rivals, along with global business opportunities. To perform this study, all the studies pertaining to the fourth industrial revolution (I4.0), challenges of I4.0, and Industry 5.0 were searched from major academic databases, such as Google Scholar, Scopus, and Web of Science from the last decades were evaluated and analyzed. Gap analysis were performed to find the challenges in adopting I4.0 norms. The findings revealed that the global economy is presently gearing up for the fifth industrial revolution involving advanced technologies such as “cobots, IoE, AIoT, edge computing, fog computing, smart sensors, digital twins, 6G, and many more.” Also, this study envisages I4.0's enabling technologies and foresees how they would serve as the basis for evolving the new revolution. The need for Industry 5.0 technologies and the socioeconomic effects associated with this transition is also addressed. This study further explores the probable adaptation of Industry 5.0 technologies in various economies, its understanding from the perspectives of practitioners and researchers, and depicts how these solutions would mitigate the challenges in sustainable manufacturing system. This study will act as a benchmark for the organizations in developing their manufacturing strategy that will align their competitive factors towards the Industry 5.0 and are human centric. Also, no such work has be done in the past and will act as a competitive tools for the organization to remain ahead in global manufacturing environment."
Green secure land registration scheme for blockchain-enabled agriculture industry 5.0,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-01953-6,Feshalbhai NagujiNilesh Kumar JadavSudeep TanwarGiovanni PauFayez AlqahtaniAmr Tolba,2025,https://link.springer.com/article/10.1007/s12083-025-01953-6,Article,"Problem- Land is a valuable yet scarce asset that plays a crucial role in agriculture, economic activity, and investment. However, land management faces significant challenges, including a lack of ownership verification, traceability issues, and fraudulent activities. Existing land registry systems are often centralized and not digitized, making them vulnerable to forgery, theft, and conflicts. Proposed solution- To address these challenges, we propose a blockchain-enabled land registry scheme that ensures secure, transparent, and tamper-proof land records. By leveraging blockchain technology, the system eliminates the reliance on centralized authorities and minimizes the risks of fraud and ownership disputes. Methods- The proposed scheme utilizes smart contracts to automate and secure the land registration process, removing the need for third-party intermediaries. Additionally, an InterPlanetary File System (IPFS) is integrated for off-chain data storage, improving scalability and response time. The security of smart contracts is evaluated using vulnerability assessment tools to identify potential risks. Results- The proposed system is assessed based on key performance metrics, including scalability, sustainability, gas consumption, smart contract security verification, and IPFS bandwidth analysis. These attainments show that the proposed decentralized scheme holds the potential to significantly mitigate land forgery and ownership issues within the landscape of agriculture industry 5.0."
Navigating the Frontiers of Industry 5.0: Predictive Analysis Using Natural Language Processing,Operations Research Forum,,,,10.1007/s43069-025-00501-5,Shamneesh SharmaChetan SharmaIsha BatraArun MalikMahender Singh KaswanDongping DuVimal Kumar,2025,https://link.springer.com/article/10.1007/s43069-025-00501-5,Article,"Industry 5.0 is a manufacturing transformation that prioritises the collaboration between humans and machines to enhance efficiency, customisation, and sustainability. The main aim of this work is to comprehend the different frontiers of Industry 5.0 and propose different avenues for future research. This research paper examines the literature on Industry 5.0 by utilising the Scopus database and the topic modelling technique of Natural Language Processing to find emerging patterns and potential areas for future research. The study demonstrates a notable rise in research endeavours about human-centric manufacturing, sustainable methodologies, and integrating sophisticated technologies. Areas of focus encompass the interplay between human ingenuity and machine accuracy, the impact of artificial intelligence on improving manufacturing procedures, and the creation of robust production systems. The report highlights the crucial significance of Industry 5.0 in tackling current industrial difficulties and promoting innovation."
A real-time hybrid task resilient collaborative scheduling strategy in the industry 5.0,Cluster Computing,,,,10.1007/s10586-025-05456-0,Yingyu HeZhuoran DaiMeiyu ZhangChengfeng Jian,2025,https://link.springer.com/article/10.1007/s10586-025-05456-0,Article,"Industry 5.0 places the combination of human decision-making and machine technology at the heart of high industrial automation. The real-time hybrid tasks resilient collaborative scheduling are the challenging problems as resilient and human-centric systems through human–machine collaboration. Current mainstream research usually perform manufacturing task scheduling and computing task scheduling separately to pursue their specific goals. Exist collaborative scheduling methods mainly focus on improving scheduling performance, ignore the dependencies between manufacturing and computing tasks, and the highly dynamic nature of the edge environment. In this paper, we propose a hybrid task scheduling model for the resilient collaborative scheduling problem of manufacturing and computing tasks. Firstly, based on the dependency between manufacturing tasks and computing tasks, we design a multi-agent graph reinforcement learning algorithm to balance the productivity and computational latency. Then, we propose an adaptive learning framework based on meta-learning for the highly dynamic edge computing environment, which fully utilizes the fast environment learning capability of meta-learning, enabling the algorithm to converge rapidly with fewer training steps when the environment changes. Finally, experiments show that our method can improve the performance efficiently."
Industry 5.0 research: an approach using co-word analysis and BERTopic modeling,Discover Sustainability,,,,10.1007/s43621-025-01252-3,Abderahman RejebKarim RejebSteve SimskeEdit Süle,2025,https://link.springer.com/article/10.1007/s43621-025-01252-3,Article,"This study addresses a substantial knowledge gap by conducting a complete evaluation of the present landscape and future directions of Industry 5.0. It recognizes the need of synthesizing a wide body of relevant research in order to get a better understanding of the complex nature of Industry 5.0. Using a comprehensive and systematic approach, the current study performed a co-word analysis and BERTopic modeling on a carefully selected dataset of 933 journal articles, sourced from Scopus and originally published between 2016 and 2024. These techniques facilitated the identification and analysis of significant patterns and uncovered integration of technology progress with human-centered strategies in Industry 5.0 frameworks. The study reveals the significant impact of new technologies, such as artificial intelligence (AI), cyber-physical systems, and blockchain processes, on improving operational efficiency, security, and sustainability. The study highlights the significance of incorporating these technologies into industrial processes to promote settings that are creative, productive, and attentive to human requirements. The trend analysis uncovers dynamism within Industry 5.0 research, which is featured by a blend of technological innovation, sustainability, and ethical considerations. Combined, these shape a future where these components are deeply interconnected. The research has significant implications, as it provides theoretical advancements and practical recommendations that might impact future industrial policy and firm operations. This study addresses a significant need by offering valuable information on how to combine technical advancements with ethical and sustainable approaches. The goal is to improve productivity and promote the well-being of society. This work is groundbreaking inasmuch as it is one of the first extensive studies in this field. It establishes an important guide for future academic research and practical use in the changing landscape of Industry 5.0."
A blockchain-based privacy-preserving data governance framework for Industry 5.0 smart factories,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02169-4,Ruikang SunShaopeng Guan,2025,https://link.springer.com/article/10.1007/s12083-025-02169-4,Article,"The transition toward Industry 5.0 necessitates unprecedented multi-stakeholder collaboration within smart factories, raising critical concerns regarding data privacy and access control. Traditional centralized systems prove inadequate for this paradigm shift, struggling to balance secure data sharing with system interoperability. While existing research has explored access control mechanisms and zero-knowledge proofs (ZKPs), these approaches lack systematic integration and comprehensive validation. To address this gap, we propose a blockchain-enabled framework leveraging Hyperledger Fabric that cohesively integrates cryptographic and architectural mechanisms for privacy-preserving data management. Our architecture introduces a dual-layer privacy model: coarse-grained data segregation through multi-channel isolation complemented by fine-grained confidentiality via embedded zero-knowledge proofs for sensitive transactional data. This enables stakeholders to verify business rule compliance without exposing private information. Furthermore, we implement dynamic attribute-based access control (ABAC) within smart contracts for context-aware permission enforcement, overcoming static access policy limitations. Experimental evaluation demonstrates the framework’s effectiveness: maintaining consistent ZKP entropy of approximately 7.65 bits/byte for robust privacy, while achieving 21 transactions per second throughput with 3-second average latency. These results validate that our architecture delivers a practical and scalable solution for secure, privacy-preserving data governance in Industry 5.0 smart manufacturing environments."
