ID,Título,Autores,Ano,Jornal/Conferência,DOI,Abstract,Keywords,ISSN,Affiliation,Base,SJR Best Quartile
BRODNY2025100685,"Assessing human-centric, resilient, sustainable and smart transformation in the EU-27 countries: A new balanced composite index method",Jarosław Brodny and Magdalena Tutak,2025,"Journal of Open Innovation: Technology, Market, and Complexity",https://doi.org/10.1016/j.joitmc.2025.100685,"Dynamic changes in the global economy are generating a new approach to the development of our civilization, culminating in the concept of Industry 5.0. Its essence lies in the integration of four pillars (dimensions): human-centricity, resilience, environmental sustainability, and the smart use of digital technologies. This new paradigm requires a reassessment of the existing approach to civilizational development and leads to a series of transformations implemented also in the EU-27 countries. The paper presents the Balanced Composite Index Method (BCIM), developed to assess and compare the progress of EU-27 countries in the transformation process within the context of Industry 5.0. The direction of these changes is oriented towards human-centric, resilient, sustainable, and smart development (HRS²-I5). The BCIM introduces a penalty mechanism that adjusts the results of individual countries according to the degree of imbalance among the four identified dimensions of transformation. As a result, strong performance in one area does not fully compensate for weaknesses in others. The dataset used in the study comprises 24 indicators representing social, environmental, digital, and economic dimensions. Through the application of normalization, weighting, and penalty correction procedures, the method provides a more balanced and equitable representation of the developmental profiles of the analyzed countries. The findings reveal significant disparities among EU-27 countries. Nordic and Western European nations dominate the HRS² transformation process, while Central and Eastern European countries lag behind due to uneven progress across dimensions. The developed method and the obtained results offer policymakers a comprehensive diagnostic and analytical tool that enables the identification of structural strengths and weaknesses of individual countries. Moreover, they support the formulation of evidence-based development strategies fostering a sustainable, resilient, and inclusive industrial transformation within the European Union.","Industry 5.0, Industrial transformation, EU-27 countries, Assessment, Balanced Composite Index Method",21998531,,Science Direct,Q1
MEJIAMONCAYO2025100260,Key performance indicators for sustainable remanufacturing: A literature review and methodological framework,Camilo Mejía-Moncayo and Amin Chaabane and Jean-Pierre Kenné and Lucas A. Hof,2025,Cleaner Logistics and Supply Chain,https://doi.org/10.1016/j.clscn.2025.100260,"Remanufacturing is a key strategy in the circular economy to support sustainability and address climate change. Its adoption is a challenging process that requires analyzing several factors about products, processes, and the supply chain. Furthermore, when considering the three pillars of sustainability— economic, environmental, and social—for the integration of remanufacturing practices, the difficulty for decision-makers increases significantly. Hence, practitioners and academics have invested considerable effort in developing various key performance indicators (KPIs) to evaluate remanufacturing, circular economy strategies, and sustainability. However, a concurrent focus on sustainable remanufacturing (SR) is still lacking. This study employs a systematic literature review (SLR) to define sustainable remanufacturing, identify KPIs, and provide practical application guidance. The developed SLR, based on 106 Scopus documents, identified a total of 1021 KPIs related to SR. Among these indicators, 32 economic, 16 environmental, and 3 social indicators were the most frequently referenced in the literature. The SLR also identified six frequent fields of use or application for the KPIs, along with their links to smart sustainable remanufacturing. This study also presents a methodological framework focused on assessing products from disassembly, recycling, and remanufacturing in a sustainable manner, to guide decision-makers in using KPIs in the transition to SR.","Remanufacturing, Sustainability, Key performance indicators, Closed-loop supply chains, Circularity, Remanufacturability, Disassembly, Product design, Industry 5.0",27723909,,Science Direct,Q1
HAJJEM2025101498,Synergies of Industry 5.0 paradigms: Unraveling the dynamics of operational management for supply chains excellence,Oumaima Hajjem and Kamar Zekhnini and Nadia Hamani,2025,Sustainable Futures,https://doi.org/10.1016/j.sftr.2025.101498,"The transition from Industry 4.0 (I4.0) to Industry 5.0 (I5.0) represents a significant shift, not only in technology but also in the methodologies that define modern industrial practices. Therefore, I5.0 moves beyond the digital and automation-focused advancements of I4.0. It emphasizes the integration of human-centric principles, sustainability, and resilience. Additionally, it incorporates cutting-edge technologies such as Artificial Intelligence, Internet of Things, Blockchain, Digital Twins, and the Metaverse, that emerged as the most influential technologies in Operations Management (OM) for achieving supply chain excellence (SCE). Despite the growing interest in these pillars, there remain notable gaps in research. First, there is limited number of studies on the connection of I5.0 and OM and their role in enhancing SCE. Second, the absence of a comprehensive roadmap for the implementation of OM practices in the I5.0 era presents another gap. In this context, a systematic literature review approach was adopted to conduct a robust analysis of the field. This latter was divided over three steps; planning, conducting, and reporting. At the end, a total of 60 papers were thoroughly reviewed and synthesized. Based on this analysis, a structured framework was developed to address existing research gaps. This framework explores how I5.0 pillars and technologies are transforming OM practices to be more sustainable, resilient, and human-centric and enhancing supply chain performance. This integration strengthens both sides. In addition, this paper highlights the intersection between I5.0 and OM, offering insights into the strategies and technologies that drive improvements across these domains. By synthesizing the latest findings in this area, the study establishes a foundation for both, researchers and industry professionals. On the one hand, it offers a structured pathway for scholars to examine the role of advanced technologies in supporting OM towards the attainment of operational excellence (OE) in contemporary supply chains. On the other hand, it calls managers to integrate advanced solutions into existing practices through systematic approach. Success depends on ensuring greater flexibility and responsiveness across both physical and digital supply chains.","Industry 4.0, Industry 5.0, Operations management, Operational excellence, Supply chain excellence",26661888,,Science Direct,Q1
ABRILJIMENEZ2025106603,Practical deployment and validation of an IoT based semantic interoperability approach for industrial interoperability in smart manufacturing,Patricia Abril-Jimenez and Diego Carvajal-Flores and Leire Bastida and Ana Moya and María Fernanda Cabrera-Umpierrez,2025,Results in Engineering,https://doi.org/10.1016/j.rineng.2025.106603,"Industrial 5.0 emphasizes human central, resilient, and sustainable manufacturing. Achieving this vision requires seamless interoperability between various systems on the shop floor, including both automated systems and human workers. However, fragmentation of industrial protocols hampers efficient data exchange, delaying intelligent automation and digitalization. This paper presents SHOP4CF smooth data exchange and intelligent automation vision through the use case validation of the Web of Things Interoperability Layer (WoT-IL) as a solution to bridge the communication gaps between the heterogeneous industrial protocols. everaging FIWARE’s context broker and OpenAPI specifications, WoT-IL enables standardized, semantic interoperability across sensors, PLCs, and higher-level systems. The component was deployed and evaluated in two real-world industrial pilots, demonstrating its ability to reduce manual configuration, enhance system flexibility, and support vendor-agnostic integration. Validation used a structured framework that evaluated functionality, integration, process improvement, human factors, and worker acceptance. Results confirm that WoT-IL significantly improves interoperability and automation readiness, positioning it as a key enabler for scalable, human-aware, and future-proof industrial ecosystems. This position WoT-IL as an enabler to improve automation, reduce system fragmentation, and support a more efficient, connected, and worker-friendly industrial environment.","Industry 5.0, Interoperability, Web of things, FIWARE, Industrial automation",25901230,,Science Direct,Q1
YANG2025115151,rGO-K-CD-MOFs based non-enzymatic electrochemical sensor toward sensitive hyodeoxycholic acid determination,Cancan Yang and Chongyue Bai and Xiaoting Chen and Hamdy Khamees Thabet and Saad Alshammari and Yunlong Sun and Jiongru Li and Juanna Ren and Hassan Algadi and Xiangzheng Hu and Faming Gao and Dapeng Cui and Zhanhu Guo and Huige Wei,2025,Microchemical Journal,https://doi.org/10.1016/j.microc.2025.115151,"The increasing utilization of hyodeoxycholic acid (HDCA) additives in animal feed has created a pressing need for reliable detection methods. This study presents a novel non-enzymatic electrochemical platform for specific detection of HDCA using liquid nanocomposites from potassium-coordinated cyclodextrin metal-organic frameworks (K-CD-MOFs) immobilized on reduced graphene oxide (rGO) substrates. Employing neutral red (NR) as the probe, rGO-K-CD-MOFs@NR exhibits outstanding sensing performance with a wide linear detection range (5.0–100.0 μM), a high sensitivity (0.10 μA·μM−1), and low detection limit (1.97 μM, S/N = 3). The sensor also demonstrates exceptional selectivity for HDCA and maintains stable performance for six months under low-temperature storage conditions. The excellent performance originates from the synergistic effect between rGO's excellent electron transfer capability and K-CD-MOFs' unique host-guest recognition properties. This work not only provides an effective solution for HDCA monitoring in feed products but also offers a promising strategy for developing advanced electrochemical sensors for food safety and quality control applications in the animal husbandry industry.","rGO-K-CD-MOFs, HDCA, Host-guest interaction, Synergistic effect",0026265X,,Science Direct,Q1
HENKEL202558,Conceptualizing the Industrial Metaverse: From Technological Layers to Business Value,Dominik A. Henkel and Björn S. Ivens,2025,Industrial Marketing Management,https://doi.org/10.1016/j.indmarman.2025.10.003,"The ongoing digitalization of industrial processes has given rise to new concepts, with the Industrial Metaverse (IM) emerging as a promising development. The IM represents an immersive, data-driven ecosystem that integrates technologies such as augmented reality, digital twins, and artificial intelligence to interconnect physical and digital environments. Despite increasing relevance, research on the IM remains scarce, particularly regarding its conceptual structure, application areas, and value contribution. This study addresses this gap by applying a qualitative research design based on 25 expert interviews across multiple industries. Taking an inductive approach, we propose an IM Canvas of seven interdependent layers in a hierarchical structure and identify 16 use cases across six application areas. We then link these areas to four dimensions of business value: creation, capture, enhancement, and protection. The findings advance theory by positioning the IM as both a continuation of digitalization and a disruptive shift that redefines ecosystems. By integrating the actors–resources–activities perspective, the IM Canvas extends existing frameworks of digital transformation and highlights the dual role of the IM as a technological enabler and an organizational transformer. This article provides a conceptual foundation for future IM research and guidance for firms to leverage the potential of this digital ecosystem.","Industrial Metaverse, Industrial marketing, Business-to-business marketing, Digital twin, Virtual reality, Industry 5.0",00198501,,Science Direct,Q1
ZHOU2025976,Knowledge-driven innovation in industrial maintenance: A neural-enhanced model-based definition framework for lifecycle maintenance process information propagation,Qidi Zhou and Dong Zhou and Chao Dai and Jiayu Chen and Ziyue Guo,2025,Journal of Manufacturing Systems,https://doi.org/10.1016/j.jmsy.2025.08.001,"Under intensifying global competitive pressures, the digital strategic transformation of enterprises requires industrial information propagation across heterogeneous systems and lifecycle stages. These disparate transmission carriers and heterogeneous implementation mechanisms result in the inconsistent propagation of maintenance process information (MPI) in industrial information flows. These challenges render the structured data and knowledge in MPI, including maintenance activities, resource allocations, procedural instructions, and operational parameters, prone to ineffective dissemination across lifecycle phases and introduce risks of catastrophic operational failure. However, the direct application of current industrial information propagation methods, such as model-based definition (MBD) and intelligent information generation, encounters two obstacles: an incomplete standardization system for MPI definitions and construction and a mismatch between heterogeneous semistructured maintenance texts and the MPI. Therefore, a knowledge-driven neural-enhanced MBD framework for lifecycle MPI propagation is proposed. First, a lifecycle MPI propagation architecture is established to provide subsequent normative guidance. Second, an ontology-driven definition and construction method for MBD-based MPI is specified to address the obstacles posed by incomplete standardization systems. Third, an intelligent generation method for MBD-based MPI is constructed to overcome the obstacles of semantic mismatches. Finally, using aviation equipment as an example, the accuracy of the generated MPI and the feasibility of the innovative framework are verified via comparisons with current neural-enhanced models and results from multiple participants. The framework addresses lifecycle MPI propagation challenges through systematic knowledge formalization and neural-enhanced generation, advancing Industry 5.0’s vision of human-centric, resilient maintenance systems.","Maintenance process information, Knowledge driven, Neural-enhanced network, Model-based definition, Lifecycle information propagation",02786125,,Science Direct,Q1
JANA2025100969,Enabling human–CPS cognitive interoperability: Cognitive architectures as technologies for human-like cognitive digital twins,Al Haj Ali Jana and Ben Gaffinet and Mario Lezoche and Hervé Panetto and Yannick Naudet,2025,Journal of Industrial Information Integration,https://doi.org/10.1016/j.jii.2025.100969,"Cognition, the set of mental processes that enable humans to perceive, reason, learn and decide, plays an essential role in effective collaboration between humans and Cyber–Physical Systems (CPSs). To achieve seamless cognitive interoperability between humans and CPSs, it is necessary to integrate a Cognitive Digital Twin (CDT) and a Human Digital Twin (HDT) to provide digital representations of both physical assets and human cognitive states. In this article, we first analyse the three essential functions of CDT and HDT: emulation, cognition and simulation, and review the state-of-the-art technologies for each of them, from supervised learning and knowledge graphs to deep reinforcement learning. Focusing on the cognitive layer, we review the state of the art in cognitive architectures, describing their symbolic, sub-symbolic and hybrid types and reporting on their real-world implementations in different domains. We then assess the relevance of these architectures for the integration of human-like reasoning in CDTs. Finally, we identify the main technological challenges and gaps that need to be addressed in order to implement fully operational CDTs.","Human–CPS collaboration, Cognitive digital twin, Human digital twin, Human cognition, Cognitive architecture, Industry 5.0",2452414X,,Science Direct,Q1
MOHAN2025701,Cultivating socially sustainable employability in Industry 5.0: exploring the impact of specific skills on the employability of management graduates,Megha Mohan and Pooja Sharma and Leo Paul Dana,2025,Education + Training,https://doi.org/10.1108/ET-03-2024-0105,"Purpose
This study intends to promote social sustainability by addressing the shifting skill expectations for recent graduates in response to changing employer demands within the industry 5.0 framework. It tries to identify the best combination of socially sustainable skills that will improve graduates' employability and align them with industry expectations.
Design/methodology/approach
This study analyses data obtained from 187 industry experts using an exploratory method and Structural Equation Modelling with AMOS software. Confirmatory Factor Analysis is used to validate seven unique socially sustainable components, which are then examined using a route model to determine their relationship to overall graduate employability (OGE).
Findings
The study highlights the skills and competences that have a major impact on graduate success in a labour market that is changing quickly by identifying seven important socially sustainable characteristics that influence OGE within Industry 5.0. The results show that employability is positively impacted by analytical, cognitive, leadership, self-efficacy and technology abilities (with an emphasis on social sustainability). Emotional intelligence and decision-making abilities, with a focus on social sustainability, have little influence, nevertheless.
Research limitations/implications
By highlighting the complex role of emotional intelligence and decision-making abilities in employability from a social sustainability perspective, this study challenges conventional viewpoints and advances the theoretical understanding of socially sustainable employability within Industry 5.0.
Practical implications
The results offer businesses and higher education institutions (HEIs) with practical advice on how to improve social sustainability in the workforce. Employers can modify hiring and personnel management practices to match the competences most valued in Industry 5.0, while HEIs can modify their curricula to concentrate on the most significant employable skills. A workforce that is not only technically skilled but also socially conscious and flexible enough to meet new industrial problems is fostered by this alignment.
Originality/value
This research will be highly valuable to the higher education institutes, universities, students, faculty members, government who is making the policies.","Employability, Industry 5.0, Social sustainability, Skills, Structural equation model, Confirmatory factor analysis, Graduates, Higher education institutions, Employer expectations",00400912,,Science Direct,Q1
SURYOPUTRO2025103837,Ergonomics and safety in human–collaborative robot interaction: A review of literature for manufacturing industries,Muhammad Ragil Suryoputro and Tieling Zhang and Senevi Kiridena,2025,International Journal of Industrial Ergonomics,https://doi.org/10.1016/j.ergon.2025.103837,"Ergonomics and safety play a crucial role in the development of human-robot collaboration (HRC) systems in the context of Industry 5.0. However, implementing ergonomics and safety measures in manufacturing industries remains challenging due to the absence of standardized guidelines, the diversity of collaborative robot system sectors, and the overlap between ergonomics and safety considerations. Given the critical nature of ergonomics and safety in HRC, there is a compelling opportunity to reduce implementation costs and improve collaboration effectiveness. To explore this, a review of relevant literature is conducted, focusing on human-collaborative robot interaction systems from the perspectives of ergonomics and safety, along with the associated challenges and potential directions for future research. This review highlights key findings from existing research, underscoring the importance of ergonomic and safety practices in HRC, and sheds light on critical research areas such as human-centered system design, the determination of collaborative operation modes, and managerial evaluation strategies. Despite notable advancements, significant challenges persist in integrating human-robot collaboration systems within manufacturing industries. This review recommends that future research should focus on accident modeling and system dynamics simulation to enhance the effectiveness of these systems further.","Human-collaborative robot, Human-robot collaboration, Ergonomics, Safety",01698141,,Science Direct,Q2
CHIGBU2025100645,"AI in education, sustainability, and the future of work: An integrative review of industry 5.0, education 5.0, and work 5.0",Bianca Ifeoma Chigbu and Sicelo Leonard Makapela,2025,"Journal of Open Innovation: Technology, Market, and Complexity",https://doi.org/10.1016/j.joitmc.2025.100645,"Industry 5.0, Education 5.0, and Work 5.0 are often discussed in silos; this integrative review shows how they cohere into a human-centric, sustainability-aligned model of AI-enabled transformation. This study reviews 200 records (62 included) from Scopus, Web of Science, Google Scholar, and policy portals (EC, UNESCO, ILO, WEF) to examine how these three domains intersect as a unified paradigm. Using an integrative literature review with quality appraisal of empirical studies and policy reports, we identify three cross-domain themes: (1) human-AI collaboration that reorients automation from substitution to augmentation, (2) skills development pathways led by Education 5.0 that bridge education, industry, and labor, and (3) sustainability as a unifying normative anchor across ecological, social, and economic dimensions. Findings show benefits (ergonomics, curriculum-industry alignment, green jobs) and risks (deskilling, inequality, rebound effects). The framework contributes by clarifying shared mediators (skills, ethics, sustainability), surfacing contradictions (automation vs. inclusion), and proposing governance conditions for human-centric outcomes. Major implications include aligning innovation policy, curriculum reform, and labour protections under SDG-coherent strategies, and piloting metrics that capture well-being, equity, and productivity.","Industry 5.0, Education 5.0, Work 5.0, Human-centric AI, Sustainability, Sustainable development goals, Future of work",21998531,,Science Direct,Q1
SCHWANER2025100585,Reduction of Enteric Pathogens in Bottled Water Using Residual Ozone,William Ryan Schwaner and Sanjay Kumar and Harshavardhan Thippareddi,2025,Journal of Food Protection,https://doi.org/10.1016/j.jfp.2025.100585,"Ozone is an effective and safe disinfectant used globally in the bottled water industry. Ozone infusion at a high level helps maintain a residual level (0.1–0.4 mg/L) at the time of bottling, thus can ensure 4 log microbial reductions. This study validated the efficacy of residual ozone against Escherichia coli O157:H7, non-O157 Shiga toxin-producing E. coli (STEC; O26, O45, O103, O111, O121, O145), and Salmonella Typhimurium. A pilot-scale ozone system infused 0.5 L polyethylene terephthalate (PET) bottles with ozonated water (0.1–0.4 mg/L). Pathogens were inoculated into samples (∼6 or 4 log CFU/mL) immediately after ozonation treatment, followed by incubation at 25 °C for 5–180 min. Additional trials evaluated the isolated effect of pH (5.0, 7.0, and 9.0) and total dissolved solids (TDS; 5, 50, and 500 mg/L) at a fixed ozone concentration (0.1 mg/L ozone) and contact time (30 min). Posttreatment samples were neutralized (0.1% sodium thiosulfate), filtered, and plated on Petri films for enumeration (35 °C, 48 h). Neutralization (0.1% sodium thiosulfate) was validated to have no antimicrobial effect in controls. All pathogens exhibited ≥4 log reductions across ozone concentrations (0.1–0.4 mg/L), contact times (≥5 min), and inoculum levels (6 or 4 log CFU/mL). Extended contact (30–180 min) did not enhance reduction. However, at 500 mg/L TDS, reductions fell below 4 logs: Salmonella (2.60 log ± 1.24), E. coli O157:H7 (1.72 log ± 1.10), and non-O157 STEC (2.74 log ± 1.45). Similarly, pH 5.0 and 9.0 resulted in <4 log reductions. While residual ozone effectively achieves microbial safety benchmarks, elevated TDS and nonneutral pH significantly impair efficacy. These findings underscore the necessity of monitoring water quality parameters to optimize ozone disinfection in bottled water facilities, ensuring consistent compliance with food safety standards.","Bottled water, Disinfection, Enteric bacteria, Ozone, Pathogen",0362028X,,Science Direct,Q2
ZHANG2025112292,A Deep Q-Network-driven multi-objective evolutionary algorithm for distributed heterogeneous hybrid flow shop scheduling with worker fatigue,Jianlin Zhang and Longbin Ma and Wu Zhao and Jie Cao and Zuohan Chen and Tianpeng Xu,2025,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2025.112292,"The hybrid flow shop scheduling problem (HFSP) is a prominent challenge in advanced manufacturing systems. Existing research often overlooks the impact of workers in production shops or treats worker fatigue as a static parameter, failing to capture its nonlinear accumulation and recovery effects on processing efficiency. However, with the advent of Industry 5.0, there has been a growing emphasis on the critical role of human factors in production scheduling. As a result, designing an effective algorithm for HFSP that considers human factors has become a prominent research focus. In this paper, an extended distributed heterogeneous hybrid flow shop scheduling problem with the dynamic effects of worker fatigue (DHHFSP-WF) is investigated. To address this problem, a Deep Q-Network-based multi-objective optimization algorithm (DQNMOEA) is designed to minimize makespan, total energy consumption (TEC), and total worker idle time (WIT). In DQNMOEA, a four-dimensional vector encoding scheme considering worker allocation represents solution, and a reconstruction strategy ensures initial population quality and diversity. Moreover, an improved order crossover, two-point crossover, and a segment-based recombination mutation method are proposed to enhance the global search performance of the algorithm. Then, a problem-specific local search strategy is designed for each layer of the vector, allowing the Deep Q-Network (DQN)-based adaptive decision-making mechanism to perform local perturbations on the current non-dominated solutions in the most suitable dimensions. Finally, seven algorithms are adopted to make a comparison on 36 sets of instances, the experimental results indicate that DQNMOEA exhibits competitive performance in solving DHHFSP-WF.","Distributed heterogeneous flow shop scheduling, Worker fatigue, Multi objective optimization, Deep Q-Network",09521976,,Science Direct,Q1
YANG2025102406,Industry 5.0: Life-Cycle mapping of sustainable technologies using BERTopic-Driven patent analytics,Heng Yang and Sheng Chen,2025,World Patent Information,https://doi.org/10.1016/j.wpi.2025.102406,"Sustainable technologies are critical to Industry 5.0—owing to the carbon-neutrality and digital-transformation transitions. To systematically identify and evaluate key sustainable technologies, this research performed an extensive investigation of 11,253 patent documents spanning the period 2011–2025. It tackled the shortcomings of previous topic-modeling approaches and the limited incorporation of life-cycle prediction in previous research. It combined the BERTopic model with the logistic growth model—enhancing topic interpretability and enabling the dynamic assessment of technological trajectories—and thus established an integrated analytical framework. The results revealed nine core technologies that drive sustainability in Industry 5.0. Technologies that have already entered the saturation stage include wireless communications (Topic 1), smart terminals and wearables (Topic 2), human–computer interaction and data intelligence (Topic 5), advanced materials and metallurgical processing (Topic 6), optical communication and modular systems (Topic 7), and acoustic sensing and smart audio (Topic 8). In addition, computer vision (Topic 0) and energy storage and wireless power transfer (Topic 4) are projected to reach the saturation stage within the next three years. Among all the technologies analyzed, additive manufacturing (Topic 3) remains at a high-growth stage, suggesting considerable potential for further development and application. This study contributes to a better understanding of the sustainable innovation landscape of Industry 5.0 and offers specific policy implications for industry stakeholders and governments.","Industry 5.0, Sustainable technologies, Patent text analysis, BERTopic, Technology life cycle",01722190,,Science Direct,Q2
TENG20251125,Cerebrum twin: A 6D semantic digital twin of multi-lobe digital brain functions for human-centric Industry 5.0,Hanwei Teng and Shuo Chen and Changping Li and Shujian Li and Rendi Kurniawan and Moran Xu and Jielin Chen and Tae Jo Ko,2025,Journal of Manufacturing Systems,https://doi.org/10.1016/j.jmsy.2025.08.009,"Industry 5.0 highlights the need for human-centric and adaptive intelligence in smart manufacturing. This paper proposes the Cerebrum Twin (CT), a brain-inspired, six-dimensional semantic digital twin (SDT) system that unifies five human-like senses, including listening, speaking, reading, writing, and looking, within a cohesive multi-lobe digital brain framework. CT integrates real-time physical signals from force, vibration, and vision sensors by leveraging a synergistic ensemble of advanced artificial intelligence (AI) modules, such as Extreme Gradient Boosting (XGBoost), ConvNeXt V2, Efficient Sub-Pixel Convolutional Networks (ESPCN), stacked sparse autoencoder with supervision (SSAES), large language models (LLM), and reinforcement learning (RL). Uniquely, CT establishes a closed-loop semantic feedback mechanism, enabling dynamic perception, multimodal semantic abstraction, signal-driven prediction, adaptive parameter optimization, and intuitive voice-based human interaction. This holistic integration bridges the physical, semantic, and cognitive layers of CNC machining, supporting robust, transparent, and operator-oriented decision-making. The proposed system was validated through ultrasonic vibration-assisted blade dicing (UVABD) experiments. CT reduced dicing force prediction error by 39.86 %, improved tool wear prediction accuracy by 29.59 %, and decreased edge chipping severity by 60.47 % compared to the baseline model. These results demonstrate that a semantically empowered, multisensory digital twin (DT), enabled by real-time physical–semantic–AI fusion and human-in-the-loop optimization, can significantly enhance intelligent manufacturing performance and fulfill the vision of Industry 5.0.","Semantic digital twin, CNC system, Information fusion, Remote/Real-time Control and Inspection, Multi-Lobe digital brain, Cerebrum twin",02786125,,Science Direct,Q1
JOSE2025106570,"A comprehensive review of digital twin applications in electric vehicles: Evolution, classification, and future directions towards Industry 5.0",Arun Jose and Sonam Shrivastava,2025,Results in Engineering,https://doi.org/10.1016/j.rineng.2025.106570,"Digital twins have played a vital role in the digitization of manufacturing processes by completely transforming the industry's approach to optimization, design, maintenance, safety, decision-making, and remote access and training methods. Despite growing interest, the literature that covers the evolution, classification, and integration of digital twins with Industry 5.0 is not comprehensive. Many studies either focused on specific technical aspects or did not provide a thorough overview of recent technological advancements, integrated frameworks, or other potential areas for future research. This review offers an in-depth examination of how digital twin technology is applied in the electric vehicle sector, particularly focusing on its role in managing electric vehicle batteries. This study introduced a structure resembling an inverted pyramid divided into five sections. Through a comprehensive bibliometric analysis of various databases, relevant literature on this topic was identified, resulting in the discovery and examination of 328 potential papers. This groundbreaking study offers a comprehensive overview of the development of digital twin technology since its inception in 2003. It explores general classifications and applications, followed by an in-depth examination of digital twin usage in the automotive industry, with a particular focus on electric vehicles and their battery management systems. A thorough critique of recent literature and an investigation into the reproducibility of these studies were presented, offering valuable insights for practitioners, researchers, and industry professionals to conceptualize the application of digital twins.","Digital twin, Industry 5.0, Smart mobility, Battery management system, Electric vehicle, Predictive maintenance",25901230,,Science Direct,Q1
LIU2025104381,Exploring the impact of human-centred AI on firms’ social and operational performance: A large language model approach,Zhen-yuan Ralph Liu and Shuqi Kyra Dong and Wenjuan Zeng and Yu-ting Wang and Dong-fang Niu,2025,Transportation Research Part E: Logistics and Transportation Review,https://doi.org/10.1016/j.tre.2025.104381,"To transform a technology-driven orientation into one focuses on social value, Industry 5.0 places human beings at the centre of the manufacturing process, facilitating a human-centric, sustainable, and resilient industrial transition. While Human-Centred AI (HCAI) is widely acknowledged as a key enabler of this transition, research on its impact on firms’ social and operational performance and the relevant boundary conditions remains scarce. Drawing upon situated AI theory, we propose the novel HER framework to systematically identify HCAI through three core pillars including human-centric design, ethical management, and responsible implications. We argue that HCAI, as a form of situated AI innovation, empowers firms to balance operational efficiency with social value creation. Utilising a unique dataset of 4,693 listed firms with 37,365 observations in the Shanghai and Shenzhen A-share markets between 2009 and 2023, we first employ the methodology of large language model to quantify HCAI from 2.837 million textual patent data according to the HER framework. Then, we examine the impact of HCAI on firms’ social and operational performance as well as the potential moderators. The analysis results confirm that HCAI enhances both social and operational performance, especially with workforce diversity as a crucial mechanism for generating social value. Furthermore, we identify the CSR committee and industrial AI exposure as significant contingent factors that moderate the social and operational enhancing effects of HCAI. By extending situated AI theory through a social perspective, this study offers theoretical insights into HCAI influences and then provides managerial guidance for optimising AI strategies in the transition to Industry 5.0.","Industry 5.0, Human-centred artificial intelligence, Social performance, Operational efficiency, Large language model",13665545,,Science Direct,Q1
TU2025100791,X-ray irradiation pretreatment improves the chemical composition and sensory profile of Pinot Noir juice and wine,Qian Tu and Weikang Ding and Junqing Bai and Shuang Liu and Xuexue Xi and Xiaojie Wu and Cui Zhang and Shiqiu Liu and Chunlong Yuan,2025,Future Foods,https://doi.org/10.1016/j.fufo.2025.100791,"Sustainable processing techniques for improving wine quality are increasingly attractive to the wine production industry. This study investigated the effects of different doses of X-ray irradiation (XRI) of Pinot Noir on juice color, volatile compounds, and the chemical and sensory profile of wine. Experiments were conducted applying XRI at doses of 0, 0.5, 1.0, 2.0, 3.0, and 5.0 kGy to Pinot Noir. Furthermore, a combination of quantitative description analysis (QDA) and electronic tongue was employed to assess the taste profile of wines. The results showed that XRI significantly enhanced the extraction of total phenolics in wine, with the highest increase of 38.11% observed at 2 kGy. XRI at doses ≥1 kGy improved the juice color, but only the 3 kGy treatment significantly enhanced the wine color. The volatile compounds of juice and wine changed significantly after XRI, with a notable increase in ethyl acetate, ethyl octanoate, and ethyl salicylate at 3 kGy. Except for the 5 kGy treatment, all XRI doses enhanced black fruit and green fruit aromas while reducing vegetation in the wine. The QDA results generally aligned with the electronic tongue, indicating that high-dose (5 kGy) XRI notably altered the sensory profile of wines. However, the effects on astringency, astringent aftertaste, and bitter aftertaste were minimal. Overall, XRI pretreatment at 3 kGy improved the color and volatile compound profile of the wine, providing valuable insights for using XRI technology to enhance wine quality in winemaking.","Wine quality, Color, Volatile compounds, Sensory profile",26668335,,Science Direct,Q1
MA2025809,Leveraging large language models in next generation intelligent manufacturing: Retrospect and prospect,Yunfei Ma and Shuai Zheng and Zheng Yang and Pai Zheng and Jiewu Leng and Jun Hong,2025,Journal of Manufacturing Systems,https://doi.org/10.1016/j.jmsy.2025.07.019,"Industry 5.0, as the guiding ideology of the new generation intelligent manufacturing, points the way for global industrial transformation. It emphasizes the collaborative cooperation between humans, machines and intelligent systems, and places humans at the core of the industrial production process, aiming to create a more flexible, personalized and sustainable production paradigm. Large language model, as an advanced natural language processing technology, has received attention from researchers related to Industry 5.0 due to its ease of use and powerful language processing capability. LLM is considered to be one of the key enabling technologies to drive the development of Industry 5.0 and has great application potential. After a rigorous review of existing approaches, we find there is few existing survey papers that focuses on how LLM will drive the development of Industry 5.0 applications. Therefore, this paper provides a comprehensive review of the application of LLM in the field of Industry 5.0. Firstly, we conduct a literature review to explore the current state of research related to Industry 5.0. Subsequently, we analyze LLM-based technologies, synergizing LLMs with Industry 5.0 enablers and the applications of LLM in various domains of intelligent manufacturing. Finally, we explore the challenges of LLM in real-world scenarios and future research directions in the context of Industry 5.0. It is hoped that this study will contribute to the further development of LLM-based solutions in the context of Industry 5.0 and unite various efforts to achieve the vision of Industry 5.0.","Industry 5.0, Large language model, Human–robot collaboration, Human centered intelligent manufacturing",02786125,,Science Direct,Q1
